message_id,sent_time,messages_sent_in_day
1970268.0,2013-04-05,1
2298946.0,2013-05-29,5
2575515.0,2013-07-13,6
2610242.0,2013-07-17,9
2926234.0,2013-08-20,2
3110458.0,2013-09-06,23
3130002.0,2013-09-08,45
3255637.0,2013-09-18,34
3387239.0,2013-09-29,33
3447200.0,2013-10-03,22
3861761.0,2013-11-05,11
3949012.0,2013-11-12,4
4082149.0,2013-11-21,26
